Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Bryan Woo","SEA",1,2,0,3,3,18.1,9.81818198842451,0.9818181988424509,1.4727272982636763,0.32653061224489793,0.56179775,0.384615384,0.142857142,96.3668703258547,5.890909193054705,4.454073135728184,3.5294276659941874,3.108475308116545,0.36372165319069105,"Bryan Woo",30279,693433
"Kyle Leahy","STL",0,1,0,3,3,15,7.8,2.4,0.6,0.40425531914893614,0.61946903,0.416666666,0.058823529,94.66751819957386,6,4.992563813246245,3.0263973553975423,3.8479947651426,0.3598502214927759,"Kyle Leahy",24763,681517
"Jack Flaherty","DET",0,1,0,2,2,8,9,2.25,0,0.36,0.54545455,0.24,0,93.33437368032095,5.625,5.055061617651167,1.8430640220642092,4.077531182020903,0.35766833862344843,"Jack Flaherty",17479,656427
"Bryce Miller","SEA",2,0,0,2,2,14,10.285714285714286,1.2857142857142858,1.2857142857142858,0.11538461538461539,1,0.357142857,0.133333333,96.27152277914325,1.2857142857142858,3.0721569338495507,3.093064022064209,2.8319691363189903,0.35044379445367024,"Bryce Miller",29837,682243
"Mason Miller","SDP",0,0,2,5,0,5,18.000003647805,1.8000003647804999,0,0.2857142857142857,0.66666667,0.142857142,0,101.26685791015625,1.8000003647804999,1.3152028434887735,-0.30693666696562394,0.5868503781481751,0.3454174869226018,"Mason Miller",31757,695243
"Martín Pérez","ATL",2,0,0,2,2,10.1,7.838709918566978,2.6129033061889926,0,0.25,0.6,0.571428571,0,89.0991226196289,3.4838710749186568,2.414589628951865,2.222096253334545,3.2312104856493846,0.33986968742979273,"Martin Perez",6902,527048
"Parker Messick","CLE",1,2,0,3,3,17.1,8.826923724462342,3.6346156512491996,1.0384616146426284,0.2553191489361702,0.6043956,0.416666666,0.105263157,94.01206483945742,4.673077265891828,3.3723224808457926,3.843064077083885,3.9759439344925545,0.3319078125625928,"Parker Messick",31986,800048
"Brandon Young","BAL",2,1,0,3,3,19.1,5.120689739370177,2.793103494201915,0.4655172490336525,0.20689655172413793,0.73863636,0.49122807,0.058823529,94.08245849609375,2.793103494201915,4.058112735806422,3.5585812710978617,4.196027547760685,0.3295617324926711,"Brandon Young",27819,687064
"Foster Griffin","WSN",1,0,0,3,3,17,7.9411764705882355,1.0588235294117647,1.0588235294117647,0.2553191489361702,0.98591549,0.5,0.142857142,91.62005615234375,1.588235294117647,3.598235129756295,3.3871816691230325,3.084536188314943,0.32530817689248015,"Foster Griffin",16432,656492
"Nick Martinez","TBR",1,0,0,2,2,12.1,5.837837988308004,0.7297297485385005,0.7297297485385005,0.2564102564102564,0.56603774,0.25,0.058823529,92.78571234809027,4.378378491231003,3.9005759841518515,3.0930640220642096,4.092304140752783,0.3243664151742732,"Nick Martinez",12730,607259
"Zack Wheeler","PHI",1,0,0,2,2,12,10.5,2.25,0.75,0.25,1,0.586206896,0.125,95.63769155649038,0.75,2.199338134620074,2.8430640220642096,2.7528272042671844,0.32321877890982637,"Zack Wheeler",10310,554430
"Robbie Ray","SFG",2,0,0,3,2,17,7.941176916076262,3.7058825608355894,0.5294117944050842,0.2222222222222222,0.78313253,0.326086956,0.04347826,93.20037774725274,2.647058972025421,3.887692267631903,3.3283581529109134,4.579054092837927,0.31217556092557336,"Robbie Ray",11486,592662
"Tony Santillan","CIN",0,0,2,6,0,5,9.000001877546703,0,0,0.26666666666666666,1,0.733333333,0,95.61998266103316,0,1.693673062244072,1.0930636048316087,1.6889216384590662,0.3071691865540636,"Tony Santillan",19926,663574
"Brady Singer","CIN",1,1,0,3,3,15,9.6,4.2,0.6,0.3,0.72815534,0.512195121,0.0625,91.18152794471153,2.4,3.432107218723587,3.6263973553975424,4.348685113588969,0.3070275025769572,"Brady Singer",25377,663903
"Andre Pallante","STL",2,0,0,2,2,13,7.615384615384615,1.3846153846153846,0.6923076923076923,0.18181818181818182,0.69767442,0.676470588,0.111111111,95.11742703419812,2.769230769230769,2.551788258291888,3.093064022064209,3.124356557428837,0.29397954591464737,"Andre Pallante",26108,669467
"Cade Smith","CLE",0,0,3,4,0,5.1,13.500003218651585,5.0625012069943445,0,0.2222222222222222,1,0.777777777,0,97.19464860882675,0,1.6052773118692638,1.7805637091397495,2.339180632313576,0.2931116601249617,"Cade Smith",27867,671922
"Elvis Alvarado","ATH",0,1,2,5,0,6.1,15.631579731970321,0,1.4210527029063929,0.1,1,0.454545454,0.166666666,99.56604116934317,1.4210527029063929,1.1897051009926052,1.6720113191578168,1.0306221248317073,0.29195989083994783,"Elvis Alvarado",21662,665660
"Miles Mikolas","WSN",1,0,0,2,0,11.2,3.857143067340473,0,0,0.17142857142857143,1,0.485714285,0,94.30564662388393,0,1.6739624475698995,2.2359211182107708,4.023494943591168,0.29111099225648046,"Miles Mikolas",9803,571945
"Javier Assad","CHC",2,0,0,3,2,18,5.500000291400501,1.0000000529819093,1.0000000529819093,0.14583333333333334,1,0.510204081,0.111111111,93.01169473616804,1.0000000529819093,2.312084882435224,3.8152862825511438,3.8604866138059615,0.29081077964236246,"Javier Assad",21741,665871
"Keider Montero","DET",1,2,0,3,2,12.2,4.973684460172375,1.4210527029063929,0.7105263514531964,0.2619047619047619,0.66176471,0.348837209,0.05,93.80484924316406,3.5526317572659822,4.713617775502026,3.7246430011337175,5.05039797289542,0.2898480240612381,"Keider Montero",22630,672456
"Adrian Morejon","SDP",1,0,0,6,0,6.2,8.10000196740079,0,0,0.2,1,0.8,0,99.10892677307129,0,0.9850432810410793,1.2930635848640335,1.739957125400865,0.2879234630554115,"Adrian Morejon",20039,670970
"Sean Newcomb","CHW",0,0,0,4,0,6.1,11.368423442101387,2.8421058605253466,0,0.29411764705882354,0.42857143,0.1875,0,94.84682408774772,4.26315879078802,5.363470995247021,1.51411632177235,2.6901519163027845,0.2863642195024387,"Sean Newcomb",16943,656794
"Sean Manaea","NYM",1,1,0,3,2,15.1,8.2173914747112,1.1739130678158858,1.1739130678158858,0.2857142857142857,0.70422535,0.431818181,0.125,90.61812789351852,3.521739203447657,3.69160177210585,3.549585770659276,3.4083455311792106,0.2833532829831549,"Sean Manaea",15873,640455
"Michael Petersen","MIA",0,0,0,6,0,7,15.428571428571429,3.857142857142857,0,0.18181818181818182,0.71428571,0.363636363,0,97.89468596702399,1.2857142857142858,2.016824299720035,1.8073497363499234,2.8713817172816825,0.2830439850697534,"Michael Petersen",20827,656848
"Roki Sasaki","LAD",0,1,0,2,2,11.1,11.11764737066514,3.9705883466661214,0.7941176693332243,0.2857142857142857,0.55555556,0.586206896,0.125,98.21646035684121,5.55882368533257,3.2400714508807833,3.093064022064209,2.9975191534815155,0.2808048463388477,"Roki Sasaki",35323,808963
"Nick Lodolo","CIN",0,1,0,3,3,15,6.000000381469751,2.4000001525879004,0.6000000381469751,0.43103448275862066,0.63291139,0.438596491,0.058823529,93.79904354319854,7.800000495910676,6.445244601632208,4.026397414737281,4.847994876718099,0.2769989320797078,"Nick Lodolo",26378,666157
"Cam Schlittler","NYY",0,0,0,2,2,12.2,8.526316217438357,3.5526317572659822,0.7105263514531964,0.2727272727272727,0.95588235,0.424242424,0.076923076,97.7924369916524,1.4210527029063929,3.526208655297415,3.4088535115989638,3.9113836988982875,0.2758034319492582,"Cam Schlittler",32095,693645
"Edgardo Henriquez","LAD",0,0,0,5,0,5.2,14.294121806804258,0,0,0.45454545454545453,0.66666667,0.545454545,0,100.92220715114048,3.176471512623168,1.1888052045215698,0.44600442821156916,1.2346401259331727,0.2716256031489539,"Edgardo Henriquez",26944,683618
"Noah Cameron","KCR",2,0,0,3,3,15.1,8.2173914747112,1.1739130678158858,1.1739130678158858,0.3137254901960784,0.65934066,0.320754716,0.083333333,92.5633561876085,4.1086957373556,4.256994649894367,3.549585770659276,4.185551515972874,0.2667916244710784,"Noah Cameron",30184,702070
"Paul Skenes","PIT",0,1,0,2,2,12,12.75,2.25,1.5,0.3076923076923077,0.88235294,0.535714285,0.2,96.82709295099431,3,3.68210339578163,3.176397355397543,2.2511013331512615,0.2659902161645936,"Paul Skenes",33677,694973
"Ryan Rolison","CHC",1,0,0,5,1,6.1,11.36842333511018,2.842105833777545,0,0.23076923076923078,1,0.538461538,0,94.84793090820312,0,1.8047326424107044,1.5141163366322399,2.6901519200946957,0.264845569210209,"Ryan Rolison",22200,669020
"Kyle Freeland","COL",0,1,0,2,2,10.2,5.062500301748532,0.843750050291422,0.843750050291422,0.3902439024390244,0.54216867,0.5,0.066666666,91.81032017299107,7.593750452622798,4.300810188385461,3.4680640444159523,4.344127059092777,0.2553030040970495,"Kyle Freeland",16256,607536
"Anthony Bender","MIA",0,1,1,5,0,5,18.000003647805,3.6000007295609997,0,0.4,0.85714286,0.6,0,97.31009674072266,1.8000003647804999,2.0448406383795925,0.8930635762213761,1.488921606297242,0.2543143897466972,"Anthony Bender",19742,669622
"Shane Drohan","MIL",1,1,0,3,3,16.1,7.714285864426863,2.2040816755505324,1.1020408377752662,0.2978723404255319,0.71428571,0.408163265,0.105263157,94.56827121310764,4.408163351101065,3.256873404465275,3.8889824049019013,4.029997756184291,0.2538272406748433,"Shane Drohan",27814,675660
"Lake Bachar","MIA",0,0,0,4,2,8,11.25,2.25,0,0.17647058823529413,0.83333333,0.470588235,0,94.32382779508023,1.125,1.546109276523315,1.7180640220642092,3.021503198705614,0.25160271922306077,"Lake Bachar",19222,669199
"Trevor Rogers","BAL",0,1,0,2,2,11.2,5.400000294276662,2.314285840404284,0.7714286134680947,0.2702702702702703,0.71428571,0.371428571,0.058823529,93.330322265625,3.857143067340473,4.175101174255752,3.77877834514696,4.835117929527973,0.2467994497471559,"Trevor Rogers",22286,669432
"Ben Brown","CHC",1,0,0,2,2,10.1,6.9677421498373135,3.4838710749186568,0,0.27586206896551724,0.92307692,0.275862068,0,96.05871161099138,0.8709677687296642,3.814755010041928,2.9962898255386907,4.726199938078416,0.24478983932457016,"Ben Brown",23590,676962
