Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Carson Benge","NYM",61,44,88.6547619047619,103,106,20.452380952380953,2,0.04545455,17,0.38636364,0.263157894,0.2766545443372293,0.421052631,0.4022181764245033,0.3208176317762156,0.3209233900247994,"Carson Benge",35177,701807
"Blaze Alexander","BAL",37,25,90.44999917348225,101.6,106.8,8.083333333333334,3,0.12,11,0.44,0.272727272,0.23462500283494592,0.424242424,0.4101562446448952,0.3439361436946972,0.32076333545976216,"Blaze Alexander",23789,677942
"Geraldo Perdomo","ARI",53,35,84.89142848423549,100.7,109.9,10.942857142857143,2,0.05714286,9,0.25714286,0.25,0.22315909239378842,0.363636363,0.34540908715941687,0.3397355147127835,0.320161890308812,"Geraldo Perdomo",22799,672695
"Junior Perez","CHW",13,7,90.4000004359654,103,103,6.857142857142857,0,0,4,0.57142857,0.25,0.26291666210939485,0.5,0.40883332677185535,0.34880443719717175,0.31989385101657647,"Junior Perez",23989,678577
"Kyle Karros","COL",29,19,93.81578786749589,107.5,108,8.473684210526315,2,0.10526316,12,0.63157895,0.346153846,0.25799999787257266,0.692307692,0.4587692285959537,0.4514973627196418,0.31976421894850554,"Kyle Karros",33252,691720
"Cooper Pratt","MIL",44,29,87.57692483755258,102,103.9,5.615384615384615,1,0.03448276,8,0.27586207,0.210526315,0.27044444401528583,0.236842105,0.3454999925225921,0.2500314021652395,0.319597622468358,"Cooper Pratt",33530,806198
"Xander Bogaerts","SDP",49,32,88.37500071525574,104.4,110.4,0.21875,0,0,14,0.4375,0.282051282,0.23820512844488406,0.307692307,0.2928205148722881,0.34384996568163234,0.3190540426100294,"Xander Bogaerts",12161,593428
"Dansby Swanson","CHC",50,35,91.83428606305803,103.9,105.1,15.257142857142858,3,0.08571429,17,0.48571429,0.288888888,0.2572666698031955,0.666666666,0.4234222220049964,0.4170224845409393,0.31886960327625274,"Dansby Swanson",18314,621020
"Travis Bazzana","CLE",57,38,88.27368525454872,104.7,106.2,15.236842105263158,3,0.07894737,16,0.42105263,0.244897959,0.21412245168977853,0.469387755,0.415571430203866,0.3477084145211337,0.31858491570803155,"Travis Bazzana",34967,683953
"Alejandro Osuna","TEX",44,33,87.84374928474426,102.1,106.6,8.75,0,0,10,0.3030303,0.268292682,0.2991749981418252,0.31707317,0.36255000084638594,0.2881788801063191,0.31795056129610816,"Alejandro Osuna",27915,696030
"TJ Rumfield","COL",52,39,80.86842105263158,99.8,103.6,16.894736842105264,2,0.05128205,8,0.20512821,0.391304347,0.24720000558429295,0.652173913,0.3680444426006741,0.4783066591391197,0.31775949398676556,"TJ Rumfield",29805,681198
