Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Jacob Young","WSN",28,19,84.4052640011436,100.8,105.2,-1.4736842105263157,1,0.05263158,5,0.26315789,0.192307692,0.17653846006410626,0.307692307,0.2322307635600177,0.2486130382333483,0.2131041464329298,"Jacob Young",29931,696285
"Marcus Semien","NYM",12,8,88.32499885559082,102.9,102.9,18.625,0,0,2,0.25,0.09090909,0.17954544993964108,0.09090909,0.20263636925003745,0.13251556952794394,0.21187149981657663,"Marcus Semien",12533,543760
"Jim Jarvis","ATL",11,8,82.86249923706055,98.2,98.2,-3.625,0,0,2,0.25,0.2,0.17630000412464142,0.2,0.19400000274181367,0.22552534666928378,0.21058708971196954,"Jim Jarvis",33492,805347
"James Outman","DET",36,20,83.20999755859376,96.1,105.3,14.3,2,0.1,3,0.15,0.151515151,0.13600000428656736,0.333333333,0.2542424290017648,0.24598388539420235,0.20928816083404753,"James Outman",24770,681546
"Jorge Barrosa","ARI",6,4,83.63333384195964,99.4,99.4,18,0,0,1,0.25,0.2,0.09840000122785568,0.2,0.1606000006198883,0.2650311390558879,0.2090763399998347,"Jorge Barrosa",23968,678489
"Eric Haase","SFG",20,8,87.29999923706055,108.1,108.1,1.6666666666666667,1,0.125,1,0.125,0,0.09956249984679744,0,0.16243749967543408,0.11208371425929822,0.20632683980817856,"Eric Haase",14111,606992
"Paul Goldschmidt","NYY",40,26,84.72692401592548,103,105.2,6.115384615384615,3,0.11538462,9,0.34615385,0.131578947,0.14452631938222207,0.315789473,0.2823947377895054,0.21313742101192473,0.20609790487214924,"Paul Goldschmidt",9218,502671
"Daulton Varsho","TOR",42,29,85.11724116884429,106,107.4,27.96551724137931,1,0.03448276,10,0.34482759,0.195121951,0.1638780478842375,0.341463414,0.282487807749975,0.24012342521122523,0.2032728090527512,"Daulton Varsho",19918,662139
"Tyler Heineman","LAA",12,9,82.01111348470052,103.4,103.4,13.11111111111111,0,0,2,0.22222222,0.083333333,0.21908332407474518,0.083333333,0.2502500042319298,0.07421599825223286,0.2031666673719883,"Tyler Heineman",13897,623168
"Dane Myers","CIN",14,8,88.95000076293945,104.3,104.3,8.666666666666666,0,0,2,0.25,0.166666666,0.10509091073816473,0.25,0.1473636356267062,0.25357467787606375,0.20114738207597,"Dane Myers",22054,667472
