Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Christian Walker","- - -",382,1428,1598,344,200,69,2,73,194,230,128,7,404,29,13,0,33,4,3,0.240896358,"Christian Walker",13419,572233
"Jacob Young","WSN",358,1067,1183,257,194,46,4,13,145,99,74,0,221,20,3,19,23,59,23,0.24086223,"Jacob Young",29931,696285
"James McCann","- - -",133,407,443,98,65,18,0,15,50,59,22,0,109,6,5,3,10,1,0,0.24078624,"James McCann",12859,543510
"Taylor Ward","- - -",412,1530,1779,368,220,76,4,68,219,205,217,2,431,15,17,0,31,13,8,0.240522875,"Taylor Ward",17548,621493
"Randy Arozarena","- - -",406,1497,1748,360,214,86,2,58,233,181,174,2,445,65,12,0,25,70,21,0.240480961,"Randy Arozarena",19290,668227
"Joey Loperfido","- - -",161,441,486,106,68,24,5,9,49,51,31,1,153,8,2,3,7,6,5,0.240362811,"Joey Loperfido",29630,694388
"Lars Nootbaar","STL",279,970,1122,233,152,48,5,28,124,105,136,6,227,7,7,2,17,12,9,0.240206185,"Lars Nootbaar",21454,663457
"Matt Vierling","DET",259,854,939,205,133,43,7,22,109,98,67,1,191,6,11,1,14,12,3,0.240046838,"Matt Vierling",21558,663837
"Avisaíl García","MIA",18,50,51,12,9,1,0,2,4,2,1,0,13,0,0,0,4,0,0,0.24,"Avisail Garcia",5760,541645
"Brian Navarreto","MIA",14,25,29,6,2,3,0,1,5,5,1,0,7,0,1,2,0,0,0,0.24,"Brian Navarreto",16398,640459
"Alika Williams","- - -",75,175,188,42,25,13,2,2,26,13,6,0,49,1,0,6,2,1,1,0.24,"Alika Williams",27604,675961
"Cam Cauley","TEX",12,25,28,6,4,1,1,0,6,0,3,0,5,0,0,0,1,0,0,0.24,"Cam Cauley",29710,695508
"Abraham Toro","- - -",171,596,648,143,99,30,1,13,67,53,34,2,104,11,5,2,5,6,3,0.239932885,"Abraham Toro",19844,647351
"Miguel Amaya","CHC",198,559,628,134,87,30,2,15,71,87,45,0,121,12,4,7,10,0,0,0.239713774,"Miguel Amaya",21693,665804
"Ramón Urías","- - -",237,681,760,163,108,29,2,24,81,86,56,0,155,11,12,0,7,4,2,0.239353891,"Ramon Urias",18795,602104
"Joe Mack","MIA",56,163,180,39,26,6,0,7,24,24,12,0,44,2,0,3,6,0,0,0.239263803,"Joe Mack",29780,691788
"Richie Palacios","TBR",181,510,600,122,92,18,3,9,85,51,78,2,117,8,3,0,12,32,6,0.239215686,"Richie Palacios",24589,680700
"Travis Bazzana","CLE",68,255,295,61,37,14,2,8,31,31,34,1,67,3,3,0,1,13,3,0.239215686,"Travis Bazzana",34967,683953
